cbsa_code,cbsa_name,metro_micro,city_name,state_fips,place_fips
17500,"Clewiston, FL",micropolitan,Clewiston,12,13000
17540,"Clinton, IA",micropolitan,Clinton,19,14430
17580,"Clovis, NM",micropolitan,Clovis,35,16420
17620,"Coamo, PR",micropolitan,Coamo,72,18719
17640,"Coco, PR",micropolitan,Coco,72,18891
17660,"Coeur d'Alene, ID",metropolitan,Coeur d'Alene,16,16750
17700,"Coffeyville, KS",micropolitan,Coffeyville,20,14600
17740,"Coldwater, MI",micropolitan,Coldwater,26,17020
17780,"College Station-Bryan, TX",metropolitan,Bryan,48,10912
17780,"College Station-Bryan, TX",metropolitan,College Station,48,15976
17820,"Colorado Springs, CO",metropolitan,Colorado Springs,8,16000
17860,"Columbia, MO",metropolitan,Columbia,29,15670
17900,"Columbia, SC",metropolitan,Columbia,45,16000
17980,"Columbus, GA-AL",metropolitan,Columbus,13,19000
18020,"Columbus, IN",metropolitan,Columbus,18,14734
18060,"Columbus, MS",micropolitan,Columbus,28,15380
18100,"Columbus, NE",micropolitan,Columbus,31,10110
18140,"Columbus, OH",metropolitan,Columbus,39,18000
18180,"Concord, NH",micropolitan,Concord,33,14200
18220,"Connersville, IN",micropolitan,Connersville,18,14932
18260,"Cookeville, TN",micropolitan,Cookeville,47,16920
18300,"Coos Bay, OR",micropolitan,Coos Bay,41,15250
18380,"Cordele, GA",micropolitan,Cordele,13,19616
18420,"Corinth, MS",micropolitan,Corinth,28,15700
18460,"Cornelia, GA",micropolitan,Cornelia,13,19728
18500,"Corning, NY",micropolitan,Corning,36,18256
18580,"Corpus Christi, TX",metropolitan,Corpus Christi,48,17000
18620,"Corsicana, TX",micropolitan,Corsicana,48,17060
18660,"Cortland, NY",micropolitan,Cortland,36,18388
18700,"Corvallis, OR",metropolitan,Corvallis,41,15800
18740,"Coshocton, OH",micropolitan,Coshocton,39,18868
18780,"Craig, CO",micropolitan,Craig,8,17760
18820,"Crawfordsville, IN",micropolitan,Crawfordsville,18,15742
18860,"Crescent City, CA",micropolitan,Crescent City,6,17022
18880,"Crestview-Fort Walton Beach-Destin, FL",metropolitan,Crestview,12,15475
18880,"Crestview-Fort Walton Beach-Destin, FL",metropolitan,Destin,12,17325
18880,"Crestview-Fort Walton Beach-Destin, FL",metropolitan,Fort Walton Beach,12,24475
18900,"Crossville, TN",micropolitan,Crossville,47,18540
18980,"Cullman, AL",micropolitan,Cullman,1,18976
19000,"Cullowhee, NC",micropolitan,Cullowhee,37,15880
19060,"Cumberland, MD-WV",metropolitan,Cumberland,24,21325
19100,"Dallas-Fort Worth-Arlington, TX",metropolitan,Arlington,48,4000
19100,"Dallas-Fort Worth-Arlington, TX",metropolitan,Dallas,48,19000
19100,"Dallas-Fort Worth-Arlington, TX",metropolitan,Denton,48,19972
19100,"Dallas-Fort Worth-Arlington, TX",metropolitan,Fort Worth,48,27000
19100,"Dallas-Fort Worth-Arlington, TX",metropolitan,Irving,48,37000
19100,"Dallas-Fort Worth-Arlington, TX",metropolitan,Plano,48,58016
19100,"Dallas-Fort Worth-Arlington, TX",metropolitan,Richardson,48,61796
19140,"Dalton, GA",metropolitan,Dalton,13,21380
